AirQualityStation,Concentration,DatetimeBegin,Validity
STA.DE_DEBB068,12.0,2020-04-01 00:00:00+01:00,1
STA.DE_DEBB068,19.0,2020-04-02 00:00:00+01:00,1
STA.DE_DEBB068,22.0,2020-04-03 00:00:00+01:00,1
STA.DE_DEBB068,19.0,2020-04-04 00:00:00+01:00,1
STA.DE_DEBB068,20.0,2020-04-05 00:00:00+01:00,1
STA.DE_DEBB068,36.0,2020-04-06 00:00:00+01:00,1
STA.DE_DEBB068,28.0,2020-04-07 00:00:00+01:00,1
STA.DE_DEBB068,35.0,2020-04-08 00:00:00+01:00,1
STA.DE_DEBB068,25.0,2020-04-09 00:00:00+01:00,1
STA.DE_DEBB068,15.0,2020-04-10 00:00:00+01:00,1
STA.DE_DEBB068,23.0,2020-04-11 00:00:00+01:00,1
STA.DE_DEBB068,28.0,2020-04-12 00:00:00+01:00,1
STA.DE_DEBB068,15.0,2020-04-13 00:00:00+01:00,1
STA.DE_DEBB068,16.0,2020-04-14 00:00:00+01:00,1
STA.DE_DEBB068,19.0,2020-04-15 00:00:00+01:00,1
STA.DE_DEBB068,21.0,2020-04-16 00:00:00+01:00,1
STA.DE_DEBB068,19.0,2020-04-17 00:00:00+01:00,1
STA.DE_DEBB068,13.0,2020-04-18 00:00:00+01:00,1
STA.DE_DEBB068,9.0,2020-04-19 00:00:00+01:00,1
STA.DE_DEBB068,16.0,2020-04-20 00:00:00+01:00,1
STA.DE_DEBB068,23.0,2020-04-21 00:00:00+01:00,1
STA.DE_DEBB068,22.0,2020-04-22 00:00:00+01:00,1
STA.DE_DEBB068,32.0,2020-04-23 00:00:00+01:00,1
STA.DE_DEBB068,33.0,2020-04-24 00:00:00+01:00,1
STA.DE_DEBB068,13.0,2020-04-25 00:00:00+01:00,1
STA.DE_DEBB068,16.0,2020-04-26 00:00:00+01:00,1
STA.DE_DEBB068,34.0,2020-04-27 00:00:00+01:00,1
STA.DE_DEBB068,35.0,2020-04-28 00:00:00+01:00,1
STA.DE_DEBB068,17.0,2020-04-29 00:00:00+01:00,1
STA.DE_DEBB068,13.0,2020-04-30 00:00:00+01:00,1
